"","Presentation.Setting","Intervention","Description","Reference.s.","Calculations","model_param","base_case","PSA_distribution","PSA_low","PSA_high","references.calculations.for.distributional.information","DSA_flag","DSA_low","DSA_high","mrs","age"
"20","late;ASC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report ","back calculated based on reference data and other parameter values see supplementary material","p.emt2mt",0.1,"beta",20,NA,"","",NA,NA,NA,NA
"21","late;CSC","no intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report  & ","back calculated based on reference data and other parameter values see supplementary material","p.emt2mt",0.3,"beta",20,NA,"","",NA,NA,NA,NA
"22","early;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.tpa.emt2mt",0.841348346450098,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.688762791416614,0.940098184445083,"","",NA,NA,NA,NA
"23","early;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.notpa.emt2mt",0.200678304182261,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.0290743248213796,0.461698489189066,"","",NA,NA,NA,NA
"24","early;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.tpa.emt2mt",0.921077592678377,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.779616596023256,0.98961142960186,"","",NA,NA,NA,NA
"25","early;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.notpa.emt2mt",0.240627039036399,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.080423580545749,0.462526630844933,"","",NA,NA,NA,NA
"26","late;ASC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.emt2mt",0.203055372938797,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.0387573016480903,0.479069838187765,"","",NA,NA,NA,NA
"27","late;CSC","intervention","% of MT eligible patients who get MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574. & SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report &  Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","back calculated based on reference data and other parameter values for no intervention value, ORs from HI study and then intervention values back calculated from p_control and OR","p.emt2mt",0.347250966989792,"OR was sampled using log normal distribution, mean and  95% CI of sample presented here based on quantile method",0.150360090753966,0.57420891332571,"","",NA,NA,NA,NA
"28","late;ASC","all","% of late stroke patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) = ~60% , EARLY: 9420/12350 ~ 75% (rounded to 5s/10s as a rough indicator. No distinction between those with TPA/noTPA made. Then adjusted to include just LVO & NIHSS > 6  , multiplied by (0.3*0.8)","p.emt",0.6,"beta",20,NA,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"29","late;CSC","all","% of late stroke patients that are eligible for MT","McMeekin, P., James, M., Price, C.I., Ford, G.A. and White, P., 2024. The impact of large core and late treatment trials: an update on the modelled annual thrombectomy eligibility of UK stroke patients. European Stroke Journal, 9(3), pp.566-574.","Calculating % eligible for MT using McMeekin 2024; LATE: 5510/(4710+4340) = ~60% , EARLY: 9420/12350 ~ 75% (rounded to 5s/10s as a rough indicator. No distinction between those with TPA/noTPA made.","p.emt",0.6,"beta",20,NA,"PSA_low is the uncertainty k value, for DSA low value from Westwood et al 2024 (multiplied by p.lvonihss), high value capped at 80% multiplied by p.lvo.nihss","y",0.412,0.8,NA,NA
"30","late","all","Split between CTP and MRI imaging (CTP)","SSNAP Annual Portfolio for April 2023-March 2024 admissions and discharges: Thrombectomy Report","Thrombectomy report states “IF perfusion imaging done” - 98% CTP, 2% CTP + MRP (where MRP is a type of MRI). I’ve therefore set 98% CTP and 2% CTP and MRI (With contrast) for the pricing. Assuming just MRI (no CTP) not occuring, similar numbers in 2022-23 report","p.CTPMRI.split",0.98,"",NA,NA,"","",NA,NA,NA,NA
"31","early","all","Probability of getting CTP ","Perfusion Imaging for Endovascular Thrombectomy in Acute Ischemic Stroke Is Associated With Improved Functional Outcomes in the Early and Late Time Windows","","p.CTP",0.185,"",NA,NA,"","",NA,NA,NA,NA
"32","late","all","Probability of getting CTP ","Perfusion Imaging for Endovascular Thrombectomy in Acute Ischemic Stroke Is Associated With Improved Functional Outcomes in the Early and Late Time Windows","","p.CTP",0.361,"",NA,NA,"","",NA,NA,NA,NA
"33","all","intervention","Cost per B360S","NICE statement https://www.nice.org.uk/guidance/dg57/documents/514","1 off cost","c.360.csc",30000,"",NA,NA,"","y",0,60000,NA,NA
"34","all","intervention","Cost per B360S","NICE statement https://www.nice.org.uk/guidance/dg57/documents/514","1 off cost","c.360.asc",15000,"",NA,NA,"","y",0,30000,NA,NA
"35","all","intervention","Training costs associated with the intervention","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.","1 off cost","c.train",3000,"",NA,NA,"high value from NIHR report","y",0,8000,NA,NA
"36","all","all","Cost of non-contrast CT","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD20A	Computerised Tomography Scan of One Area, without Contrast, 19 years and over	69","c.nct",69,"",NA,NA,"","",NA,NA,NA,NA
"37","all","all","Cost of CTA","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD22Z	Computerised Tomography Scan of One Area, with Pre- and Post-Contrast	87","c.cta",87,"",NA,NA,"","",NA,NA,NA,NA
"38","all","all","Cost of CTP","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD22Z	Computerised Tomography Scan of One Area, with Pre- and Post-Contrast	87","c.ctp",87,"",NA,NA,"","",NA,NA,NA,NA
"39","all","all","Cost of MRI","NHS reference costs 22/23. www.england.nhs.uk/pay-syst/national-tariff/national-tariff-payment-system/","RD03Z	Magnetic Resonance Imaging Scan of One Area, with Pre- and Post-Contrast	175","c.mri",175,"",NA,NA,"","",NA,NA,NA,NA
"40","all","all","Cost of TPA","NIHR report (inflated)","","c.tpa",1527.719128,"uniform",1527.719128,2718.63024,"low value from NIHR study inflated, high value from Price et al inflated","",NA,NA,NA,NA
"41","all","all","Cost per MT procedure and LVO","NIHR report (inflated)","Values inflated using the NHS Cost Inflation index for 2023, the incremental cost of MT will be the difference between this value and the c.lvo value ","c.mt",9915.506421,"gamma",6077.02749,14814.588,"NIHR","y",8373.43270211921,11438.6631593123,NA,NA
"42","all","all","Cost per LVO no MT","NIHR report (inflated)","Values inflated using the NHS Cost Inflation index for 2023","c.lvo",795.451983,"gamma",463.7315816,1276.108075,"NIHR","y",646.086066683353,929.301186192653,NA,NA
"43","all","all","national stroke number","https://fingertips.phe.org.uk/search/Hospital%20admissions%20rate?utm_source=chatgpt.com#page/4/gid/1/pat/159/par/K02000001/ati/15/are/E92000001/iid/90986/age/1/sex/4/cat/-1/ctp/-1/yrr/1/cid/4/tbm/1","Values for England","n.stroke",93753,"",NA,NA,"","",NA,NA,NA,NA
"44","all","all","number of ASCs","https://www.strokeaudit.org/Documents/National/Clinical/Apr2022Mar2023/Apr2022Mar2023-AnnualReport.aspx & an IDSN-hospital linkage from SSNAP Acute Organisational Audit 2021 - Named site results ","after data cleaning the list of ASCs and CSCs with stroke patients numbers reported England, totalled the number with a CSC flag of 0","n.asc",132,"",NA,NA,"","",NA,NA,NA,NA
"45","all","all","number of CSCs","https://www.strokeaudit.org/Documents/National/Clinical/Apr2022Mar2023/Apr2022Mar2023-AnnualReport.aspx & an IDSN-hospital linkage from SSNAP Acute Organisational Audit 2021 - Named site results ","after data cleaning the list of ASCs and CSCs with stroke patients numbers reported England, totalled the number with a CSC flag of 1","n.csc",23,"",NA,NA,"","",NA,NA,NA,NA
"46","ASC","intervention","OR for MT for ASC","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","","OR.MT",2.34,"lognormal",1.78,3.09,"","",NA,NA,NA,NA
"47","CSC","intervention","OR for MT for CSC","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] ","","OR.MT",1.28,"lognormal",1.03,1.58,"","",NA,NA,NA,NA
"48","all","intervention","OR for TPA","Impact of Artificial Intelligence Imaging Decision Support Software on Treatment of Acute Ischemic Stroke in England [In submission] , suppementary table 5","","OR.TPA",1.99,"lognormal",1.79,2.22,"","",NA,NA,NA,NA
"49","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-2","dist.tpa",0.142,"",NA,NA,"","",NA,NA,0,NA
"50","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-3","dist.tpa",0.168,"",NA,NA,"","",NA,NA,1,NA
"51","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-4","dist.tpa",0.084,"",NA,NA,"","",NA,NA,2,NA
"52","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-5","dist.tpa",0.191,"",NA,NA,"","",NA,NA,3,NA
"53","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-6","dist.tpa",0.06,"",NA,NA,"","",NA,NA,4,NA
"54","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-7","dist.tpa",0.06,"",NA,NA,"","",NA,NA,5,NA
"55","all","all","distribution of tpa patients in that mRS score","Price et al and Wardlaw JM, Murray V, Berge E, del Zoppo GJ.  Thrombolysis for acute ischaemic stroke.  Cochrane Database of Systematic Reviews 2014, Issue 7. Art. No.: CD000213.  DOI: 10.1002/14651858.CD000213.pub3.","see supplementary material - the OR reduction in density in mRS3-6 was applied to Soeteman no-tpa values and then the remaining %s were evenly distributed across mRS0-8","dist.tpa",0.295,"",NA,NA,"","",NA,NA,6,NA
"56","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.103,"",NA,NA,"","",NA,NA,0,NA
"57","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.122,"",NA,NA,"","",NA,NA,1,NA
"58","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.061,"",NA,NA,"","",NA,NA,2,NA
"59","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.225,"",NA,NA,"","",NA,NA,3,NA
"60","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.071,"",NA,NA,"","",NA,NA,4,NA
"61","all","all","distribution of no tpa patients in that mRS score","Price et al","","dist.notpa",0.071,"",NA,NA,"","",NA,NA,5,NA
"62","all","all","distribution of no tpa patients in that mRS score","Price et al",NA,"dist.notpa",0.347,"",NA,NA,"","",NA,NA,6,NA
"63","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.111,"",NA,NA,"","",NA,NA,0,NA
"64","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.181,"",NA,NA,"","",NA,NA,1,NA
"65","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.186,"",NA,NA,"","",NA,NA,2,NA
"66","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.161,"",NA,NA,"","",NA,NA,3,NA
"67","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.159,"",NA,NA,"","",NA,NA,4,NA
"68","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.055,"",NA,NA,"","",NA,NA,5,NA
"69","all","all","distribution of MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.mt",0.147,"",NA,NA,"","",NA,NA,6,NA
"70","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.063,"",NA,NA,"","",NA,NA,0,NA
"71","all","all","distribution of no MT patients in that mRS score","Westwood, M., Ramaekers, B., Grimm, S., Armstrong, N., Wijnen, B., Ahmadu, C., de Kock, S., Noake, C. and Joore, M., 2024. Software with artificial intelligence-derived algorithms for analysing CT brain scans in people with a suspected acute stroke: a systematic review and cost-effectiveness analysis. Health Technology Assessment (Winchester, England), 28(11), p.1.",NA,"dist.nomt",0.098,"",NA,NA,"","",NA,NA,1,NA
