ISDN,site.name,Hospital,date,p_eivt2ivt,,p_eivt2ivt represents the percentage of eligible tpa patients that received ivt
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2022-Mar 2023,95.4,,
London,King's College Hospital NHS Foundation Trust,King's College Hospital HASU,Apr 2023-Mar 2024,99,,
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2019-Mar 2020,99.1,,
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2020-Mar 2021,100,,
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2021-Mar 2022,100,,
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2022-Mar 2023,98.4,,
London,King's College Hospital NHS Foundation Trust,Princess Royal University Hospital HASU,Apr 2023-Mar 2024,99.2,,
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2019-Mar 2020,88.9,,
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2020-Mar 2021,87.6,,
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2021-Mar 2022,83.8,,
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2022-Mar 2023,84.3,,
London,London North West University Healthcare NHS Trust,Northwick Park Hospital HASU,Apr 2023-Mar 2024,90,,
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2019-Mar 2020,92,,
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2020-Mar 2021,86.4,,
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2021-Mar 2022,77.4,,
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2022-Mar 2023,88.9,,
London,St George's University Hospitals NHS Foundation Trust,St George's Hospital HASU,Apr 2023-Mar 2024,96.2,,
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2019-Mar 2020,89.2,,
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2020-Mar 2021,86.7,,
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2021-Mar 2022,89.7,,
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2022-Mar 2023,93.2,,
London,University College London Hospitals NHS Foundation Trust,University College Hospital HASU,Apr 2023-Mar 2024,86,,
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2019-Mar 2020,92.1,,
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2020-Mar 2021,86.5,,
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2021-Mar 2022,94.8,,
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2022-Mar 2023,92.9,,
East Midlands,Northampton General Hospital NHS Trust,Northampton General Hospital,Apr 2023-Mar 2024,98.1,,
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2019-Mar 2020,,,
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2020-Mar 2021,99.1,,
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2021-Mar 2022,84.9,,
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2022-Mar 2023,95.2,,
East Midlands,Nottingham University Hospitals NHS Trust,Queen's Medical Centre - Nottingham,Apr 2023-Mar 2024,82.2,,
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2019-Mar 2020,98.9,,
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2020-Mar 2021,100,,
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2021-Mar 2022,100,,
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2022-Mar 2023,97,,
East Midlands,Sherwood Forest Hospitals NHS Foundation Trust,Kings Mill Hospital,Apr 2023-Mar 2024,98.7,,
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2019-Mar 2020,98.6,,
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2020-Mar 2021,98.5,,
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2021-Mar 2022,94.8,,
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2022-Mar 2023,95.3,,
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2023-Mar 2024,97.3,,
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2019-Mar 2020,93.9,,
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2020-Mar 2021,98.1,,
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2021-Mar 2022,94.5,,
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2022-Mar 2023,94.3,,
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2023-Mar 2024,95.8,,
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2019-Mar 2020,75.2,,
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2020-Mar 2021,79.9,,
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2021-Mar 2022,88.5,,
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2022-Mar 2023,73,,
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2023-Mar 2024,74.4,,
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2019-Mar 2020,81,,
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2020-Mar 2021,81.7,,
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2021-Mar 2022,86.1,,
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2022-Mar 2023,81.7,,
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2023-Mar 2024,89.8,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2019-Mar 2020,96.7,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2020-Mar 2021,98.4,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2021-Mar 2022,89.1,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2022-Mar 2023,98,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2023-Mar 2024,97.1,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2019-Mar 2020,96.6,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2020-Mar 2021,98.5,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2021-Mar 2022,85.7,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2022-Mar 2023,51.5,,
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2023-Mar 2024,69,,
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2019-Mar 2020,98.4,,
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2020-Mar 2021,97.6,,
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2021-Mar 2022,100,,
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2022-Mar 2023,100,,
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2023-Mar 2024,98.5,,
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2019-Mar 2020,100,,
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2020-Mar 2021,98.9,,
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2021-Mar 2022,99.1,,
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2022-Mar 2023,94.1,,
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2023-Mar 2024,89.6,,
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2019-Mar 2020,86,,
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2020-Mar 2021,89,,
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2021-Mar 2022,92.6,,
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2022-Mar 2023,89.1,,
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2023-Mar 2024,92.3,,
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2019-Mar 2020,90.5,,
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2020-Mar 2021,88.5,,
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2021-Mar 2022,82.9,,
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2022-Mar 2023,70,,
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2023-Mar 2024,78.3,,
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2019-Mar 2020,98.2,,
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2020-Mar 2021,92.1,,
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2021-Mar 2022,97.7,,
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2022-Mar 2023,97.7,,
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2023-Mar 2024,96.9,,
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2019-Mar 2020,93.7,,
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2020-Mar 2021,100,,
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2021-Mar 2022,99.2,,
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2022-Mar 2023,96.4,,
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2023-Mar 2024,95.5,,
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2019-Mar 2020,98.8,,
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2020-Mar 2021,92.2,,
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2021-Mar 2022,88.5,,
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2022-Mar 2023,95.7,,
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2023-Mar 2024,92.9,,
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2019-Mar 2020,87.3,,
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2020-Mar 2021,100,,
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2021-Mar 2022,100,,
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2022-Mar 2023,97.6,,
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2023-Mar 2024,98.9,,
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2019-Mar 2020,96.8,,
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2020-Mar 2021,100,,
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2021-Mar 2022,90.3,,
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2022-Mar 2023,84.7,,
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2023-Mar 2024,96.7,,
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2019-Mar 2020,98.9,,
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2020-Mar 2021,97,,
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2021-Mar 2022,88.8,,
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2022-Mar 2023,88.7,,
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2023-Mar 2024,89,,
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2019-Mar 2020,100,,
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2020-Mar 2021,98.7,,
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2021-Mar 2022,96.1,,
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2022-Mar 2023,100,,
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2023-Mar 2024,100,,
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2019-Mar 2020,97.3,,
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2020-Mar 2021,98.2,,
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2021-Mar 2022,100,,
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2022-Mar 2023,98.1,,
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2023-Mar 2024,88.3,,
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2019-Mar 2020,61.1,,
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2020-Mar 2021,70.1,,
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2021-Mar 2022,66.7,,
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2022-Mar 2023,81,,
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2023-Mar 2024,84,,
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2019-Mar 2020,90.1,,
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2020-Mar 2021,92.1,,
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2021-Mar 2022,93.5,,
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2022-Mar 2023,94.4,,
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2023-Mar 2024,91.1,,
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2019-Mar 2020,97.4,,
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2020-Mar 2021,97.4,,
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2021-Mar 2022,99.2,,
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2022-Mar 2023,100,,
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2023-Mar 2024,97.4,,
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2019-Mar 2020,85.1,,
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2020-Mar 2021,77.9,,
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2021-Mar 2022,70.5,,
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2022-Mar 2023,78.1,,
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2023-Mar 2024,83.9,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2019-Mar 2020,96.5,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2020-Mar 2021,84.6,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2021-Mar 2022,81.3,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2022-Mar 2023,85.7,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2023-Mar 2024,90.9,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2019-Mar 2020,100,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2020-Mar 2021,92.9,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2021-Mar 2022,75,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2022-Mar 2023,88.9,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2023-Mar 2024,88.9,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2019-Mar 2020,91.8,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2020-Mar 2021,92.1,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2021-Mar 2022,89.5,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2022-Mar 2023,94.4,,
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2023-Mar 2024,90.3,,
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2019-Mar 2020,95.9,,
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2020-Mar 2021,97.1,,
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2021-Mar 2022,89.5,,
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2022-Mar 2023,91.9,,
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2023-Mar 2024,97,,
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2019-Mar 2020,61.1,,
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2020-Mar 2021,37.3,,
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2021-Mar 2022,29.3,,
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2022-Mar 2023,40.8,,
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2023-Mar 2024,46.1,,
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2019-Mar 2020,79.6,,
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2020-Mar 2021,77.8,,
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2021-Mar 2022,97.7,,
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2022-Mar 2023,89.6,,
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2023-Mar 2024,95.7,,
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2019-Mar 2020,94.6,,
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2020-Mar 2021,88.3,,
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2021-Mar 2022,94.4,,
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2022-Mar 2023,92.7,,
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2023-Mar 2024,94.9,,
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2019-Mar 2020,84.3,,
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2020-Mar 2021,90.3,,
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2021-Mar 2022,91.7,,
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2022-Mar 2023,89.6,,
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2023-Mar 2024,96.7,,
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2019-Mar 2020,98.2,,
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2020-Mar 2021,97.7,,
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2021-Mar 2022,92.4,,
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2022-Mar 2023,97.8,,
Cheshire and Mersey,Mersey and West Lancashire Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2023-Mar 2024,99.2,,
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2019-Mar 2020,,,
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2020-Mar 2021,90.5,,
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2021-Mar 2022,,,
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2022-Mar 2023,,,
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2023-Mar 2024,,,
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Apr 2019-Mar 2020,98.1,,
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Apr 2020-Mar 2021,100,,
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2021-Mar 2022,100,,
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2022-Mar 2023,93.3,,
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2023-Mar 2024,84.2,,
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2019-Mar 2020,100,,
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2020-Mar 2021,95.7,,
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2021-Mar 2022,98.1,,
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2022-Mar 2023,97.8,,
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2023-Mar 2024,97.9,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2019-Mar 2020,97.1,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2020-Mar 2021,95.2,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2021-Mar 2022,100,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2022-Mar 2023,95.4,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2023-Mar 2024,100,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2019-Mar 2020,96.6,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2020-Mar 2021,93.8,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2021-Mar 2022,92.3,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2022-Mar 2023,97.8,,
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2023-Mar 2024,98.4,,
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2019-Mar 2020,97.3,,
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2020-Mar 2021,94.7,,
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2021-Mar 2022,88.6,,
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2022-Mar 2023,92.2,,
