ISDN,site.name,Hospital,date,n.stroke
East Midlands,United Lincolnshire Hospitals NHS Trust,Lincoln County Hospital,Apr 2023-Mar 2024,963
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2019-Mar 2020,1007
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2020-Mar 2021,1269
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2021-Mar 2022,1355
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2022-Mar 2023,1354
East Midlands,University Hospitals of Derby and Burton NHS Foundation Trust,Royal Derby Hospital,Apr 2023-Mar 2024,1376
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2019-Mar 2020,1262
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2020-Mar 2021,1204
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2021-Mar 2022,1265
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2022-Mar 2023,1173
East Midlands,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Apr 2023-Mar 2024,1298
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2019-Mar 2020,779
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2020-Mar 2021,752
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2021-Mar 2022,780
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2022-Mar 2023,858
East of England (North),Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,Apr 2023-Mar 2024,905
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2019-Mar 2020,681
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2020-Mar 2021,700
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2021-Mar 2022,710
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2022-Mar 2023,639
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Colchester General Hospital,Apr 2023-Mar 2024,721
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2019-Mar 2020,498
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2020-Mar 2021,535
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2021-Mar 2022,480
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2022-Mar 2023,529
East of England (North),East Suffolk and North Essex NHS Foundation Trust,Ipswich Hospital,Apr 2023-Mar 2024,635
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2019-Mar 2020,506
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2020-Mar 2021,471
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2021-Mar 2022,490
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2022-Mar 2023,481
East of England (North),James Paget University Hospitals NHS Foundation Trust,James Paget Hospital,Apr 2023-Mar 2024,504
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2019-Mar 2020,1166
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2020-Mar 2021,889
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2021-Mar 2022,1114
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2022-Mar 2023,1017
East of England (North),Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospital,Apr 2023-Mar 2024,1061
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2019-Mar 2020,727
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2020-Mar 2021,785
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2021-Mar 2022,748
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2022-Mar 2023,806
East of England (North),North West Anglia NHS Foundation Trust,Peterborough City Hospital,Apr 2023-Mar 2024,835
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2019-Mar 2020,549
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2020-Mar 2021,592
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2021-Mar 2022,629
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2022-Mar 2023,580
East of England (North),Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital Kings Lynn,Apr 2023-Mar 2024,542
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2019-Mar 2020,560
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2020-Mar 2021,478
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2021-Mar 2022,594
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2022-Mar 2023,540
East of England (North),West Suffolk NHS Foundation Trust,West Suffolk Hospital,Apr 2023-Mar 2024,571
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2019-Mar 2020,733
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2020-Mar 2021,457
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2021-Mar 2022,727
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2022-Mar 2023,729
East of England (South),Bedfordshire Hospitals NHS Foundation Trust,Luton and Dunstable Hospital,Apr 2023-Mar 2024,804
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2019-Mar 2020,842
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2020-Mar 2021,835
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2021-Mar 2022,849
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2022-Mar 2023,826
East of England (South),East and North Hertfordshire NHS Trust,Lister Hospital,Apr 2023-Mar 2024,934
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2019-Mar 2020,583
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2020-Mar 2021,570
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2021-Mar 2022,644
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2022-Mar 2023,655
East of England (South),Mid and South Essex NHS Foundation Trust,Basildon University Hospital,Apr 2023-Mar 2024,645
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2019-Mar 2020,557
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2020-Mar 2021,648
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2021-Mar 2022,700
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2022-Mar 2023,719
East of England (South),Mid and South Essex NHS Foundation Trust,Broomfield Hospital,Apr 2023-Mar 2024,759
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2019-Mar 2020,701
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2020-Mar 2021,505
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2021-Mar 2022,673
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2022-Mar 2023,699
East of England (South),Mid and South Essex NHS Foundation Trust,Southend Hospital,Apr 2023-Mar 2024,699
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2019-Mar 2020,625
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2020-Mar 2021,544
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2021-Mar 2022,662
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2022-Mar 2023,626
East of England (South),West Hertfordshire Teaching Hospitals NHS Trust,Watford General Hospital,Apr 2023-Mar 2024,705
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2019-Mar 2020,565
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2020-Mar 2021,609
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2021-Mar 2022,559
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2022-Mar 2023,618
North Midlands,Dudley Group NHS Foundation Trust,Russells Hall Hospital,Apr 2023-Mar 2024,668
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2019-Mar 2020,929
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2020-Mar 2021,1019
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2021-Mar 2022,1104
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2022-Mar 2023,1043
North Midlands,Royal Wolverhampton NHS Trust,New Cross Hospital,Apr 2023-Mar 2024,1215
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2019-Mar 2020,959
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2020-Mar 2021,964
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2021-Mar 2022,983
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2022-Mar 2023,876
North Midlands,Shrewsbury and Telford Hospital NHS Trust,Princess Royal Hospital Telford,Apr 2023-Mar 2024,841
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2019-Mar 2020,1477
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2020-Mar 2021,1295
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2021-Mar 2022,1171
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2022-Mar 2023,1212
North Midlands,University Hospitals of North Midlands NHS Trust,Royal Stoke University Hospital,Apr 2023-Mar 2024,1282
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2019-Mar 2020,652
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2020-Mar 2021,652
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2021-Mar 2022,776
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2022-Mar 2023,773
West Midlands,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell District Hospital,Apr 2023-Mar 2024,814
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2019-Mar 2020,911
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2020-Mar 2021,391
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2021-Mar 2022,521
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2022-Mar 2023,601
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Birmingham Heartlands Hospital,Apr 2023-Mar 2024,670
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2019-Mar 2020,282
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2020-Mar 2021,254
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2021-Mar 2022,360
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2022-Mar 2023,368
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Good Hope General Hospital,Apr 2023-Mar 2024,384
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2019-Mar 2020,655
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2020-Mar 2021,1307
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2021-Mar 2022,1192
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2022-Mar 2023,1262
West Midlands,University Hospitals Birmingham NHS Foundation Trust,Queen Elizabeth Hospital Edgbaston,Apr 2023-Mar 2024,1284
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2019-Mar 2020,821
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2020-Mar 2021,750
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2021-Mar 2022,895
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2022-Mar 2023,1130
West Midlands,University Hospitals Coventry and Warwickshire NHS Trust,University Hospital Coventry,Apr 2023-Mar 2024,1258
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2019-Mar 2020,865
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2020-Mar 2021,811
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2021-Mar 2022,739
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2022-Mar 2023,812
West Midlands,Worcestershire Acute Hospitals NHS Trust,Worcestershire Royal Hospital,Apr 2023-Mar 2024,827
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2019-Mar 2020,539
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2020-Mar 2021,465
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2021-Mar 2022,522
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2022-Mar 2023,564
West Midlands,Wye Valley NHS Trust,Hereford County Hospital,Apr 2023-Mar 2024,520
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2019-Mar 2020,399
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2020-Mar 2021,414
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2021-Mar 2022,462
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2022-Mar 2023,428
Cheshire and Mersey,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital,Apr 2023-Mar 2024,433
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2019-Mar 2020,534
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2020-Mar 2021,426
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2021-Mar 2022,530
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2022-Mar 2023,992
Cheshire and Mersey,Liverpool University Hospitals NHS Foundation Trust,University Hospital Aintree,Apr 2023-Mar 2024,1476
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2019-Mar 2020,1084
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2020-Mar 2021,979
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2021-Mar 2022,1040
Cheshire and Mersey,St Helens and Knowsley Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2022-Mar 2023,1151
Cheshire and Mersey,Mersey and West Lancashire Teaching Hospitals NHS Trust,Whiston Hospital HASU,Apr 2023-Mar 2024,1170
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2019-Mar 2020,.
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2020-Mar 2021,233
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2021-Mar 2022,.
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2022-Mar 2023,.
Cheshire and Mersey,Walton Centre NHS Foundation Trust,Walton Centre Stroke Team,Apr 2023-Mar 2024,.
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Apr 2019-Mar 2020,630
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Apr 2020-Mar 2021,619
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2021-Mar 2022,664
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2022-Mar 2023,645
Cheshire and Mersey,Wirral University Teaching Hospital NHS Foundation Trust,Wirral Arrowe Park Hospital,Apr 2023-Mar 2024,669
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2019-Mar 2020,567
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2020-Mar 2021,626
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2021-Mar 2022,671
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2022-Mar 2023,649
East Midlands,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal,Apr 2023-Mar 2024,659
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2019-Mar 2020,1049
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2020-Mar 2021,987
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2021-Mar 2022,975
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2022-Mar 2023,968
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Apr 2023-Mar 2024,978
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2019-Mar 2020,2060
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2020-Mar 2021,1961
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2021-Mar 2022,1941
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2022-Mar 2023,1937
Greater Manchester,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Apr 2023-Mar 2024,2098
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2019-Mar 2020,1199
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2020-Mar 2021,1140
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2021-Mar 2022,1287
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2022-Mar 2023,1168
Greater Manchester,Stockport NHS Foundation Trust,Stepping Hill Hospital,Apr 2023-Mar 2024,1186
Humber Coast and Vale,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Apr 2019-Mar 2020,836
Humber Coast and Vale,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Apr 2020-Mar 2021,935
Humber Coast and Vale,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Apr 2021-Mar 2022,948
Humber Coast and Vale,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Apr 2022-Mar 2023,1039
Humber Coast and Vale,Hull University Teaching Hospitals NHS Trust,Hull Royal Infirmary,Apr 2023-Mar 2024,1049
Humber Coast and Vale,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,Apr 2019-Mar 2020,609
Humber Coast and Vale,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,Apr 2020-Mar 2021,709
Humber Coast and Vale,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,Apr 2021-Mar 2022,651
Humber Coast and Vale,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,Apr 2022-Mar 2023,648
Humber Coast and Vale,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Scunthorpe General Hospital,Apr 2023-Mar 2024,849
Humber Coast and Vale,York and Scarborough Teaching Hospitals NHS Foundation Trust,York Hospital,Apr 2019-Mar 2020,1006
Humber Coast and Vale,York and Scarborough Teaching Hospitals NHS Foundation Trust,York Hospital,Apr 2020-Mar 2021,738
